,receiver
2998,6
2999,5
3000,2
3001,4
3002,1
3003,13
3004,6
3005,16
3006,19
3007,5
3008,7
3009,16
3010,2
3011,7
3012,14
3013,3
3014,20
3015,21
3016,14
3017,3
3018,16
3019,14
3020,15
3021,17
3022,14
3023,1
3024,14
3025,4
3026,16
3027,20
3028,22
3029,16
3030,5
3031,2
3032,13
3033,14
3034,5
3035,19
3036,3
3037,15
3038,19
3039,2
3040,4
3041,1
3042,2
3043,9
3044,13
3045,3
3046,8
3047,5
3048,7
3049,8
3050,11
3051,3
3052,6
3053,21
3054,2
3055,5
3056,20
3057,4
3058,8
3059,6
3060,6
3061,16
3062,7
3063,9
3064,9
3065,13
3066,19
3067,11
3068,17
3069,9
3070,5
3071,20
3072,21
3073,8
3074,15
3075,4
3076,8
3077,10
3078,1
3079,16
3080,8
3081,19
3082,22
3083,20
3084,9
3085,10
3086,18
3087,5
3088,4
3089,6
3090,4
3091,8
3092,22
3093,6
3094,20
3095,13
3096,9
3097,2
3098,1
3099,22
3100,4
3101,5
3102,14
3103,5
3104,14
3105,12
3106,5
3107,4
3108,20
3109,1
3110,16
3111,18
3112,22
3113,3
3114,12
3115,14
3116,2
3117,8
3118,10
3119,11
3120,16
3121,7
3122,7
3123,5
3124,9
3125,8
3126,3
3127,19
3128,15
3129,10
3130,8
3131,13
3132,3
3133,15
3134,10
3135,22
3136,14
3137,8
3138,8
3139,16
3140,9
3141,3
3142,16
3143,9
3144,7
3145,4
3146,1
3147,11
3148,7
3149,6
3150,16
3151,17
3152,3
3153,22
3154,17
3155,7
3156,3
3157,17
3158,19
3159,4
3160,5
3161,8
3162,8
3163,7
3164,18
3165,21
3166,6
3167,2
3168,11
3169,2
3170,22
3171,1
3172,22
3173,19
3174,3
3175,22
3176,14
3177,15
3178,21
3179,11
3180,5
3181,8
3182,19
3183,10
3184,3
3185,20
3186,6
3187,6
3188,13
3189,7
3190,12
3191,6
3192,8
3193,18
3194,16
3195,14
3196,21
3197,16
3198,17
3199,10
3200,22
3201,16
3202,18
3203,12
3204,7
3205,3
3206,20
3207,10
3208,4
3209,5
3210,9
3211,3
3212,19
3213,14
3214,18
3215,1
3216,10
3217,9
3218,8
3219,15
3220,9
3221,9
3222,15
3223,2
3224,17
3225,6
3226,8
3227,3
3228,20
3229,17
3230,17
3231,9
3232,6
3233,10
3234,6
3235,19
3236,9
3237,13
3238,3
3239,3
3240,20
3241,11
3242,1
3243,2
3244,3
3245,20
3246,4
3247,1
3248,17
3249,1
3250,19
3251,19
3252,17
3253,7
3254,5
3255,2
3256,17
3257,19
3258,11
3259,2
3260,2
3261,14
3262,4
3263,22
3264,7
3265,2
3266,1
3267,7
3268,2
3269,6
3270,19
3271,22
3272,2
3273,8
3274,22
3275,8
3276,1
3277,6
3278,15
3279,7
3280,10
3281,7
3282,13
3283,16
3284,7
3285,5
3286,11
3287,13
3288,5
3289,16
3290,13
3291,19
3292,12
3293,9
3294,7
3295,1
3296,18
3297,15
3298,9
3299,5
3300,13
3301,16
3302,3
3303,6
3304,5
3305,21
3306,8
3307,3
3308,10
3309,11
3310,18
3311,6
3312,18
3313,7
3314,3
3315,17
3316,13
3317,1
3318,2
3319,10
3320,14
3321,12
3322,10
3323,18
3324,12
3325,3
3326,6
3327,2
3328,14
3329,1
3330,19
3331,16
3332,2
3333,18
3334,1
3335,14
3336,11
3337,1
3338,10
3339,14
3340,1
3341,11
3342,6
3343,22
3344,9
3345,18
3346,20
3347,6
3348,1
3349,5
3350,10
3351,1
3352,5
3353,20
3354,8
3355,6
3356,4
3357,20
3358,13
3359,14
3360,6
3361,14
3362,13
3363,13
3364,16
3365,8
3366,19
3367,16
3368,19
3369,20
3370,18
3371,11
3372,3
3373,21
3374,14
3375,4
3376,19
3377,10
3378,9
3379,3
3380,20
3381,6
3382,3
3383,5
3384,12
3385,17
3386,7
3387,18
3388,3
3389,16
3390,21
3391,8
3392,13
3393,2
3394,4
3395,20
3396,12
3397,2
3398,1
3399,20
3400,13
3401,5
3402,3
3403,22
3404,6
3405,13
3406,11
3407,20
3408,11
3409,4
3410,22
3411,15
3412,13
3413,16
3414,19
3415,10
3416,4
3417,15
3418,14
3419,8
3420,19
3421,8
3422,20
3423,7
3424,3
3425,4
3426,14
3427,7
3428,12
3429,16
3430,3
3431,8
3432,17
3433,15
3434,1
3435,16
3436,14
3437,4
3438,16
3439,22
3440,17
3441,6
3442,7
3443,2
3444,12
3445,3
3446,2
3447,1
3448,10
3449,14
3450,19
3451,6
3452,6
3453,8
3454,1
3455,18
3456,16
3457,22
3458,3
3459,7
3460,5
3461,11
3462,18
3463,18
3464,11
3465,5
3466,16
3467,10
3468,4
3469,7
3470,22
3471,20
3472,15
3473,6
3474,9
3475,13
3476,19
3477,20
3478,20
3479,14
3480,7
3481,8
3482,5
3483,14
3484,14
3485,15
3486,4
3487,22
3488,19
3489,14
3490,6
3491,9
3492,20
3493,2
3494,2
3495,9
3496,17
3497,6
3498,19
3499,1
3500,13
3501,6
3502,22
3503,14
3504,14
3505,16
3506,9
3507,6
3508,18
3509,2
3510,19
3511,10
3512,20
3513,4
3514,3
3515,17
3516,7
3517,14
3518,22
3519,15
3520,12
3521,17
3522,6
3523,22
3524,10
3525,10
3526,10
3527,10
3528,18
3529,3
3530,16
3531,1
3532,17
3533,20
3534,7
3535,5
3536,14
3537,5
3538,2
3539,6
3540,21
3541,19
3542,10
3543,18
3544,16
3545,2
3546,15
3547,9
3548,15
3549,18
3550,15
3551,9
3552,6
3553,8
3554,18
3555,16
3556,6
3557,6
3558,1
3559,14
3560,8
3561,2
3562,13
3563,11
3564,9
3565,6
3566,20
3567,1
3568,1
3569,21
3570,11
3571,9
3572,6
3573,12
3574,4
3575,15
3576,6
3577,3
3578,8
3579,12
3580,14
3581,22
3582,3
3583,20
3584,3
3585,14
3586,5
3587,21
3588,2
3589,8
3590,21
3591,18
3592,13
3593,13
3594,2
3595,6
3596,19
3597,18
3598,4
3599,8
3600,2
3601,21
3602,9
3603,16
3604,19
3605,11
3606,15
3607,11
3608,7
3609,2
3610,5
3611,22
3612,18
3613,14
3614,17
3615,20
3616,11
3617,14
3618,17
3619,7
3620,15
3621,7
3622,19
3623,22
3624,16
3625,5
3626,3
3627,5
3628,8
3629,22
3630,6
3631,6
3632,22
3633,7
3634,16
3635,8
3636,3
3637,13
3638,18
3639,14
3640,17
3641,2
3642,12
3643,22
3644,1
3645,6
3646,19
3647,7
3648,13
3649,13
3650,20
3651,1
3652,3
3653,1
3654,2
3655,18
3656,1
3657,10
3658,7
3659,7
3660,2
3661,8
3662,2
3663,8
3664,2
3665,9
3666,7
3667,6
3668,14
3669,20
3670,20
3671,11
3672,11
3673,3
3674,4
3675,13
3676,3
3677,4
3678,4
3679,8
3680,8
3681,18
3682,11
3683,17
3684,13
3685,3
3686,20
3687,9
3688,5
3689,7
3690,19
3691,11
3692,14
3693,1
3694,22
3695,21
3696,16
3697,2
3698,5
3699,7
3700,1
3701,9
3702,2
3703,20
3704,20
3705,21
3706,18
3707,18
3708,17
3709,6
3710,22
3711,18
3712,4
3713,4
3714,4
3715,9
3716,2
3717,21
3718,4
3719,2
3720,10
3721,16
3722,13
3723,2
3724,10
3725,19
3726,16
3727,15
3728,3
3729,14
3730,19
3731,13
3732,3
3733,18
3734,2
3735,19
3736,17
3737,22
3738,13
3739,16
3740,17
3741,2
3742,6
3743,6
3744,6
3745,16
3746,15
3747,9
3748,3
3749,6
3750,16
3751,6
3752,15
3753,7
3754,20
3755,22
3756,8
3757,19
3758,4
3759,14
3760,13
3761,19
3762,15
3763,7
3764,3
3765,4
3766,9
3767,3
3768,3
3769,5
3770,16
3771,2
3772,6
3773,2
3774,7
3775,4
3776,3
3777,22
3778,11
3779,22
3780,18
3781,5
3782,7
3783,4
3784,9
3785,6
3786,1
3787,19
3788,8
3789,18
3790,21
3791,3
3792,11
3793,10
3794,20
3795,4
3796,11
3797,2
3798,8
3799,16
3800,6
3801,9
3802,8
3803,11
3804,4
3805,1
3806,5
3807,8
3808,8
3809,15
3810,12
3811,19
3812,5
3813,21
3814,16
3815,10
3816,19
3817,8
3818,6
3819,12
3820,13
3821,8
3822,18
3823,12
3824,20
3825,4
3826,11
3827,11
3828,2
3829,5
3830,13
3831,2
3832,2
3833,17
3834,21
3835,15
3836,1
3837,10
3838,12
3839,19
3840,7
3841,15
3842,13
3843,22
3844,6
3845,7
3846,17
3847,6
3848,13
3849,7
3850,3
3851,9
3852,7
3853,12
3854,8
3855,4
3856,2
3857,8
3858,16
3859,2
3860,12
3861,15
3862,14
3863,4
3864,3
3865,3
3866,4
3867,10
3868,1
3869,22
3870,13
3871,21
3872,9
3873,9
3874,3
3875,22
3876,3
3877,6
3878,21
3879,8
3880,13
3881,22
3882,3
3883,11
3884,22
3885,4
3886,7
3887,19
3888,19
3889,11
3890,5
3891,5
3892,4
3893,20
3894,22
3895,5
3896,15
3897,3
3898,11
3899,18
3900,13
3901,4
3902,11
3903,15
3904,2
3905,2
3906,12
3907,6
3908,13
3909,22
3910,8
3911,9
3912,7
3913,14
3914,20
3915,9
3916,11
3917,11
3918,13
3919,13
3920,8
3921,10
3922,5
3923,2
3924,21
3925,6
3926,3
3927,11
3928,15
3929,2
3930,8
3931,21
3932,1
3933,12
3934,11
3935,12
3936,15
3937,20
3938,22
3939,2
3940,22
3941,2
3942,16
3943,2
3944,15
3945,7
3946,5
3947,18
3948,22
3949,15
3950,8
3951,1
3952,7
3953,22
3954,2
3955,7
3956,22
3957,5
3958,5
3959,12
3960,7
3961,12
3962,8
3963,19
3964,2
3965,22
3966,11
3967,14
3968,13
3969,7
3970,5
3971,18
3972,2
3973,6
3974,17
3975,7
3976,9
3977,5
3978,10
3979,3
3980,2
3981,9
3982,2
3983,6
3984,22
3985,22
3986,18
3987,7
3988,22
3989,19
3990,16
3991,15
3992,3
3993,7
3994,7
3995,6
3996,17
3997,18
3998,2
3999,2
4000,1
4001,11
4002,15
4003,7
4004,2
4005,8
4006,9
4007,11
4008,1
4009,14
4010,5
4011,6
4012,6
4013,20
4014,3
4015,12
4016,7
4017,6
4018,22
4019,1
4020,4
4021,2
4022,8
4023,5
4024,9
4025,3
4026,17
4027,15
4028,11
4029,8
4030,3
4031,18
4032,5
4033,20
4034,15
4035,16
4036,12
4037,6
4038,16
4039,10
4040,17
4041,3
4042,1
4043,16
4044,3
4045,12
4046,18
4047,8
4048,6
4049,16
4050,6
4051,21
4052,15
4053,17
4054,12
4055,21
4056,10
4057,5
4058,14
4059,15
4060,19
4061,21
4062,2
4063,21
4064,22
4065,18
4066,14
4067,5
4068,12
4069,13
4070,4
4071,20
4072,4
4073,2
4074,20
4075,18
4076,18
4077,8
4078,12
4079,6
4080,22
4081,4
4082,5
4083,15
4084,5
4085,8
4086,20
4087,7
4088,22
4089,3
4090,1
4091,13
4092,22
4093,22
4094,16
4095,1
4096,17
4097,15
4098,10
4099,10
4100,20
4101,2
4102,15
4103,5
4104,18
4105,17
4106,21
4107,8
4108,2
4109,16
4110,2
4111,6
4112,22
4113,16
4114,13
4115,14
4116,11
4117,20
4118,10
4119,12
4120,3
4121,8
4122,8
4123,13
4124,22
4125,13
4126,13
4127,18
4128,17
4129,13
4130,18
4131,13
4132,18
4133,6
4134,8
4135,6
4136,9
4137,7
4138,5
4139,22
4140,2
4141,6
4142,19
4143,14
4144,21
4145,8
4146,21
4147,9
4148,7
4149,4
4150,4
4151,9
4152,2
4153,20
4154,9
4155,4
4156,14
4157,11
4158,2
4159,20
4160,8
4161,16
4162,4
4163,13
4164,15
4165,4
4166,14
4167,22
4168,12
4169,13
4170,3
4171,5
4172,11
4173,9
4174,17
4175,15
4176,3
4177,8
4178,16
4179,9
4180,4
4181,9
4182,17
4183,9
4184,6
4185,17
4186,13
4187,3
4188,9
4189,7
4190,10
4191,15
4192,10
4193,16
4194,16
4195,6
4196,15
4197,16
4198,19
4199,19
4200,10
4201,20
4202,4
4203,10
4204,4
4205,3
4206,13
4207,12
4208,21
4209,11
4210,2
4211,7
4212,2
4213,20
4214,20
4215,14
4216,13
4217,11
4218,21
4219,18
4220,6
4221,3
4222,21
4223,1
4224,6
4225,17
4226,7
4227,17
4228,16
4229,7
4230,16
4231,17
4232,16
4233,4
4234,8
4235,2
4236,18
4237,11
4238,13
4239,18
4240,1
4241,18
4242,21
4243,16
4244,8
4245,13
4246,22
4247,3
4248,6
4249,8
4250,3
4251,2
4252,2
4253,6
4254,13
4255,4
4256,7
4257,19
4258,3
4259,5
4260,15
4261,16
4262,7
4263,3
4264,8
4265,15
4266,20
4267,8
4268,8
4269,18
4270,11
4271,20
4272,17
4273,17
4274,21
4275,2
4276,15
4277,22
4278,7
4279,7
4280,20
4281,9
4282,19
4283,15
4284,17
4285,20
4286,3
4287,18
4288,21
4289,2
4290,3
4291,22
4292,21
4293,6
4294,7
4295,21
4296,15
4297,6
4298,4
4299,11
4300,8
4301,5
4302,5
4303,14
4304,8
4305,18
4306,18
4307,7
4308,17
4309,14
4310,21
4311,9
4312,15
4313,22
4314,7
4315,4
4316,3
4317,15
4318,19
4319,13
4320,14
4321,7
4322,19
4323,6
4324,13
4325,6
4326,21
4327,7
4328,8
4329,16
4330,16
4331,10
4332,21
4333,7
4334,20
4335,12
4336,2
4337,18
4338,16
4339,18
4340,7
4341,15
4342,15
4343,11
4344,19
4345,11
4346,21
4347,13
4348,22
4349,3
4350,8
4351,7
4352,22
4353,7
4354,22
4355,6
4356,2
4357,17
4358,17
4359,18
4360,19
4361,21
4362,19
4363,2
4364,21
4365,2
4366,8
4367,5
4368,12
4369,22
4370,5
4371,21
4372,2
4373,3
4374,6
4375,6
4376,20
4377,3
4378,4
4379,15
4380,9
4381,3
4382,2
4383,4
4384,7
4385,4
4386,6
4387,7
4388,22
4389,3
4390,4
4391,15
4392,5
4393,3
4394,22
4395,17
4396,2
4397,21
4398,15
4399,18
4400,14
4401,7
4402,11
4403,16
4404,1
4405,16
4406,13
4407,10
4408,10
4409,21
4410,3
4411,9
4412,3
4413,7
4414,7
4415,12
4416,18
4417,14
4418,20
4419,16
4420,9
4421,17
4422,2
4423,7
4424,4
4425,11
4426,4
4427,14
4428,6
4429,5
4430,14
4431,8
4432,9
4433,19
4434,12
4435,2
4436,14
4437,5
4438,6
4439,22
4440,2
4441,19
4442,9
4443,21
4444,1
4445,7
4446,7
4447,13
4448,13
4449,4
4450,3
4451,18
4452,5
4453,22
4454,7
4455,12
4456,9
4457,2
4458,20
4459,12
4460,21
4461,8
4462,8
4463,5
4464,20
4465,13
4466,9
4467,22
4468,7
4469,10
4470,2
4471,16
4472,4
4473,16
4474,1
4475,3
4476,2
4477,19
4478,19
4479,8
4480,3
4481,4
4482,6
4483,21
4484,1
4485,14
4486,20
4487,7
4488,19
4489,4
4490,6
4491,7
4492,1
4493,2
4494,3
4495,2
4496,21
4497,6
4498,16
4499,20
4500,8
4501,15
4502,9
4503,13
4504,11
4505,22
4506,2
4507,13
4508,18
4509,7
4510,14
4511,7
4512,5
4513,15
4514,9
4515,4
4516,17
4517,17
4518,4
4519,20
4520,6
4521,11
4522,11
4523,3
4524,22
4525,12
4526,6
4527,16
4528,10
4529,8
4530,5
4531,3
4532,21
4533,16
4534,1
4535,4
4536,17
4537,16
4538,9
4539,8
4540,10
4541,22
4542,10
4543,7
4544,22
4545,15
4546,9
4547,20
4548,10
4549,8
4550,10
4551,19
4552,1
4553,2
4554,12
4555,5
4556,11
4557,2
4558,3
4559,5
4560,20
4561,7
4562,13
4563,17
4564,16
4565,22
4566,3
4567,5
4568,21
4569,15
4570,18
4571,12
4572,19
4573,14
4574,2
4575,17
4576,10
4577,16
4578,8
4579,17
4580,12
4581,11
4582,7
4583,20
4584,15
4585,5
4586,17
4587,7
4588,1
4589,5
4590,21
4591,15
4592,15
4593,15
4594,4
4595,11
4596,14
4597,22
4598,18
4599,4
4600,9
4601,19
4602,8
4603,9
4604,6
4605,7
4606,15
4607,13
4608,18
4609,17
4610,17
4611,11
4612,12
4613,1
4614,9
4615,9
4616,6
4617,18
4618,4
4619,6
4620,21
4621,22
4622,20
4623,10
4624,8
4625,2
4626,1
4627,20
4628,9
4629,21
4630,17
4631,11
4632,4
4633,9
4634,18
4635,13
4636,4
4637,7
4638,18
4639,22
4640,19
4641,18
4642,18
4643,7
4644,7
4645,4
4646,7
4647,15
4648,19
4649,17
4650,13
4651,20
4652,13
4653,13
4654,2
4655,7
4656,2
4657,9
4658,21
4659,6
4660,20
4661,20
4662,7
4663,9
4664,4
4665,6
4666,6
4667,12
4668,9
4669,16
4670,11
4671,3
4672,6
4673,7
4674,7
4675,11
4676,10
4677,11
4678,17
4679,14
4680,17
4681,22
4682,2
4683,4
4684,19
4685,9
4686,7
4687,4
4688,14
4689,20
4690,5
4691,21
4692,15
4693,18
4694,17
4695,8
4696,4
4697,11
4698,12
4699,16
4700,16
4701,14
4702,5
4703,8
4704,22
4705,8
4706,12
4707,14
4708,18
4709,7
4710,1
4711,6
4712,6
4713,19
4714,15
4715,22
4716,2
4717,17
4718,22
4719,5
4720,9
4721,10
4722,6
4723,5
4724,5
4725,20
4726,4
4727,18
4728,13
4729,11
4730,6
4731,5
4732,14
4733,15
4734,17
4735,7
4736,20
4737,15
4738,7
4739,19
4740,14
4741,21
4742,11
4743,13
4744,2
4745,2
4746,22
4747,22
4748,10
4749,19
4750,1
4751,4
4752,7
4753,2
4754,7
4755,11
4756,5
4757,4
4758,11
4759,8
4760,13
4761,3
4762,15
4763,7
4764,3
4765,19
4766,17
4767,15
4768,4
4769,5
4770,8
4771,3
4772,1
4773,22
4774,6
4775,7
4776,4
4777,4
4778,11
4779,19
4780,18
4781,15
4782,17
4783,11
4784,8
4785,9
4786,20
4787,2
4788,5
4789,21
4790,20
4791,6
4792,5
4793,2
4794,2
4795,9
4796,7
4797,21
4798,2
4799,4
4800,12
4801,16
4802,14
4803,8
4804,1
4805,11
4806,1
4807,7
4808,5
4809,12
4810,2
4811,7
4812,14
4813,4
4814,14
4815,5
4816,18
4817,2
4818,5
4819,1
4820,6
4821,1
4822,1
4823,16
4824,5
4825,5
4826,2
4827,18
4828,2
4829,12
4830,7
4831,7
4832,6
4833,7
4834,10
4835,4
4836,14
4837,3
4838,11
4839,21
4840,17
4841,21
4842,16
4843,8
4844,5
4845,2
4846,13
4847,19
4848,1
4849,21
4850,22
4851,13
4852,12
4853,13
4854,14
4855,4
4856,20
4857,22
4858,1
4859,3
4860,10
4861,15
4862,11
4863,6
4864,7
4865,21
4866,20
4867,21
4868,5
4869,21
4870,13
4871,8
4872,6
4873,13
4874,15
4875,12
4876,17
4877,16
4878,10
4879,5
4880,1
4881,9
4882,2
4883,7
4884,14
4885,11
4886,21
4887,14
4888,19
4889,8
4890,6
4891,6
4892,18
4893,4
4894,6
4895,5
4896,11
4897,1
4898,19
4899,14
4900,3
4901,22
4902,15
4903,14
4904,11
4905,16
4906,11
4907,5
4908,3
4909,13
4910,6
4911,7
4912,6
4913,2
4914,4
4915,10
4916,1
4917,6
4918,15
4919,4
4920,10
4921,15
4922,18
4923,4
4924,14
4925,1
4926,14
4927,14
4928,7
4929,21
4930,6
4931,21
4932,16
4933,15
4934,2
4935,14
4936,22
4937,22
4938,3
4939,14
4940,15
4941,10
4942,17
4943,7
4944,12
4945,16
4946,5
4947,21
4948,17
4949,20
4950,15
4951,20
4952,13
4953,9
4954,5
4955,14
4956,14
4957,22
4958,12
4959,7
4960,7
4961,19
4962,22
4963,17
4964,16
4965,14
4966,11
4967,9
4968,11
4969,22
4970,16
4971,16
4972,10
4973,7
4974,13
4975,1
4976,20
4977,19
4978,13
4979,6
4980,10
4981,4
4982,14
4983,2
4984,1
4985,18
4986,15
4987,1
4988,7
4989,10
4990,3
4991,11
4992,12
4993,12
4994,6
4995,9
4996,7
4997,20
4998,7
4999,6
5000,17
5001,19
5002,5
5003,1
5004,9
5005,12
5006,12
5007,22
5008,22
5009,9
5010,1
5011,22
5012,3
5013,20
5014,20
5015,3
5016,22
5017,16
5018,6
5019,10
5020,4
5021,18
5022,16
5023,3
5024,11
5025,14
5026,6
5027,2
5028,6
5029,21
5030,7
5031,20
5032,12
5033,12
5034,17
5035,4
5036,14
5037,11
5038,21
5039,1
5040,19
5041,4
5042,2
5043,21
5044,2
5045,14
5046,1
5047,7
5048,22
5049,15
5050,5
5051,22
5052,7
5053,11
5054,4
5055,1
5056,21
5057,17
5058,21
5059,12
5060,5
5061,7
5062,13
5063,16
5064,6
5065,8
5066,9
5067,7
5068,21
5069,7
5070,11
5071,18
5072,8
5073,9
5074,9
5075,8
5076,20
5077,18
5078,4
5079,6
5080,10
5081,2
5082,21
5083,4
5084,8
5085,17
5086,1
5087,16
5088,19
5089,2
5090,14
5091,2
5092,3
5093,22
5094,5
5095,19
5096,12
5097,6
5098,15
5099,20
5100,4
5101,4
5102,22
5103,9
5104,12
5105,4
5106,13
5107,11
5108,4
5109,8
5110,22
5111,6
5112,7
5113,4
5114,17
5115,2
5116,16
5117,3
5118,8
5119,3
5120,14
5121,3
5122,18
5123,7
5124,8
5125,11
5126,17
5127,3
5128,22
5129,6
5130,3
5131,6
5132,8
5133,2
5134,3
5135,12
5136,9
5137,21
5138,19
5139,15
5140,7
5141,6
5142,1
5143,2
5144,13
5145,4
5146,13
5147,20
5148,5
5149,14
5150,21
5151,4
5152,12
5153,2
5154,16
5155,10
5156,21
5157,21
5158,21
5159,13
5160,21
5161,13
5162,1
5163,20
5164,1
5165,20
5166,16
5167,5
5168,22
5169,12
5170,7
5171,5
5172,3
5173,7
5174,13
5175,16
5176,11
5177,9
5178,2
5179,21
5180,18
5181,3
5182,14
5183,3
5184,10
5185,14
5186,20
5187,2
5188,6
5189,10
5190,11
5191,18
5192,4
5193,15
5194,18
5195,4
5196,12
5197,7
5198,18
5199,19
5200,1
5201,13
5202,12
5203,3
5204,14
5205,12
5206,22
5207,1
5208,15
5209,7
5210,13
5211,16
5212,2
5213,12
5214,17
5215,22
5216,13
5217,15
5218,7
5219,2
5220,15
5221,15
5222,5
5223,1
5224,1
5225,19
5226,4
5227,1
5228,17
5229,2
5230,8
5231,8
5232,13
5233,11
5234,14
5235,8
5236,2
5237,20
5238,17
5239,20
5240,6
5241,15
5242,16
5243,10
5244,15
5245,11
5246,9
5247,11
5248,11
5249,12
5250,21
5251,2
5252,5
5253,8
5254,13
5255,9
5256,10
5257,3
5258,12
5259,6
5260,22
5261,6
5262,10
5263,21
5264,12
5265,3
5266,22
5267,21
5268,4
5269,3
5270,3
5271,19
5272,4
5273,17
5274,11
5275,20
5276,21
5277,12
5278,20
5279,12
5280,8
5281,5
5282,5
5283,1
5284,21
5285,21
5286,7
5287,10
5288,20
5289,2
5290,11
5291,13
5292,14
5293,19
5294,7
5295,11
5296,21
5297,17
5298,12
5299,2
5300,18
5301,18
5302,6
5303,4
5304,16
5305,16
5306,12
5307,1
5308,10
5309,18
5310,20
5311,16
5312,10
5313,22
5314,1
5315,22
5316,2
5317,21
5318,4
5319,7
5320,14
5321,8
5322,11
5323,19
5324,12
5325,11
5326,12
5327,16
5328,5
5329,12
5330,10
5331,22
5332,4
5333,4
5334,4
5335,21
5336,19
5337,15
5338,15
5339,8
5340,1
5341,14
5342,12
5343,10
5344,18
5345,8
5346,11
5347,22
5348,11
5349,16
5350,11
5351,2
5352,18
5353,21
5354,15
5355,15
5356,5
5357,16
5358,7
5359,21
5360,20
5361,3
5362,3
5363,21
5364,3
5365,7
5366,11
5367,5
5368,22
5369,18
5370,6
5371,21
5372,15
5373,19
5374,21
5375,11
5376,19
5377,9
5378,22
5379,7
5380,2
5381,10
5382,7
5383,2
5384,22
5385,10
5386,22
5387,6
5388,5
5389,1
5390,22
5391,20
5392,14
5393,1
5394,2
5395,6
5396,13
5397,14
5398,16
5399,16
5400,13
5401,15
5402,2
5403,10
5404,20
5405,17
5406,18
5407,10
5408,13
5409,3
5410,16
5411,18
5412,15
5413,4
5414,7
5415,18
5416,22
5417,4
5418,4
5419,11
5420,20
5421,12
5422,21
5423,4
5424,20
5425,5
5426,5
5427,1
5428,7
5429,3
5430,1
5431,3
5432,8
5433,1
5434,22
5435,6
5436,14
5437,6
5438,1
5439,4
5440,7
5441,8
5442,18
5443,10
5444,9
5445,13
5446,6
5447,16
5448,22
5449,7
5450,9
5451,5
5452,8
5453,6
5454,2
5455,10
5456,3
5457,19
5458,22
5459,8
5460,10
5461,1
5462,22
5463,7
5464,21
5465,11
5466,5
5467,15
5468,19
5469,10
5470,15
5471,13
5472,15
5473,5
5474,10
5475,14
5476,22
5477,5
5478,16
5479,16
5480,17
5481,18
5482,16
5483,4
5484,22
5485,7
5486,1
5487,1
5488,17
5489,9
5490,7
5491,19
5492,2
5493,13
5494,3
5495,6
5496,6
5497,21
5498,2
5499,16
5500,7
5501,17
5502,15
5503,19
5504,1
5505,12
5506,16
5507,11
5508,11
5509,5
5510,15
5511,5
5512,13
5513,12
5514,12
5515,16
5516,5
5517,11
5518,3
5519,22
5520,6
5521,7
5522,10
5523,10
5524,15
5525,1
5526,11
5527,22
5528,14
5529,7
5530,11
5531,7
5532,3
5533,4
5534,7
5535,19
5536,13
5537,6
5538,16
5539,17
5540,6
5541,12
5542,11
5543,12
5544,12
5545,3
5546,9
5547,12
5548,21
5549,22
5550,20
5551,2
5552,1
5553,1
5554,18
5555,11
5556,22
5557,4
5558,2
5559,6
5560,5
5561,15
5562,19
5563,22
5564,21
5565,14
5566,20
5567,20
5568,5
5569,1
5570,19
5571,11
5572,4
5573,9
5574,16
5575,16
5576,6
5577,12
5578,5
5579,4
5580,7
5581,13
5582,14
5583,9
5584,2
5585,20
5586,8
5587,13
5588,3
5589,2
5590,19
5591,2
5592,22
5593,15
5594,13
5595,21
5596,12
5597,10
5598,10
5599,6
5600,2
5601,1
5602,15
5603,14
5604,6
5605,17
5606,8
5607,21
5608,22
5609,15
5610,19
5611,18
5612,12
5613,14
5614,7
5615,10
5616,21
5617,19
5618,5
5619,10
5620,4
5621,12
5622,22
5623,20
5624,21
5625,21
5626,7
5627,5
5628,15
5629,14
5630,13
5631,4
5632,8
5633,7
5634,18
5635,22
5636,19
5637,7
5638,13
5639,1
5640,3
5641,9
5642,19
5643,17
5644,3
5645,7
5646,19
5647,3
5648,19
5649,2
5650,8
5651,16
5652,1
5653,11
5654,17
5655,10
5656,4
5657,17
5658,3
5659,18
5660,21
5661,13
5662,17
5663,1
5664,6
5665,14
5666,22
5667,5
5668,4
5669,6
5670,1
5671,11
5672,10
5673,12
5674,3
5675,8
5676,18
5677,4
5678,22
5679,13
5680,22
5681,16
5682,14
5683,15
5684,16
5685,10
5686,22
5687,2
5688,14
5689,4
5690,13
5691,12
5692,22
5693,1
5694,21
5695,12
5696,7
5697,20
5698,11
5699,5
5700,14
5701,6
5702,19
5703,15
5704,17
5705,1
5706,7
5707,8
5708,13
5709,1
5710,16
5711,1
5712,1
5713,3
5714,8
5715,18
5716,9
5717,3
5718,12
5719,3
5720,17
5721,22
5722,21
5723,4
5724,14
5725,2
5726,8
5727,8
5728,13
5729,8
5730,10
5731,8
5732,18
5733,17
5734,20
5735,22
5736,6
5737,15
5738,2
5739,6
5740,20
5741,5
5742,14
5743,8
5744,21
5745,22
5746,15
5747,1
5748,4
5749,21
5750,8
5751,2
5752,1
5753,20
5754,15
5755,14
5756,17
5757,6
5758,6
5759,7
5760,18
5761,12
5762,9
5763,7
5764,17
5765,15
5766,19
5767,1
5768,9
5769,22
5770,16
5771,8
5772,17
5773,17
5774,14
5775,17
5776,14
5777,2
5778,13
5779,15
5780,11
5781,13
5782,16
5783,7
5784,16
5785,7
5786,18
5787,15
5788,16
5789,7
5790,6
5791,8
5792,14
5793,15
5794,11
5795,15
5796,18
